MILESTONE | COST 97 TIME 1
MILESTONE | COST 95 TIME 1
MILESTONE | COST 93 TIME 1
MILESTONE | COST 91 TIME 2
MILESTONE | COST 89 TIME 2
MILESTONE | COST 87 TIME 3
MILESTONE | COST 85 TIME 3
MILESTONE | COST 83 TIME 4
MILESTONE | COST 81 TIME 4
MILESTONE | COST 79 TIME 5
MILESTONE | COST 77 TIME 5
MILESTONE | COST 76 TIME 5
MILESTONE | COST 75 TIME 6
MILESTONE | COST 74 TIME 6
MILESTONE | COST 73 TIME 7
MILESTONE | COST 72 TIME 7
MILESTONE | COST 70 TIME 7
MILESTONE | COST 69 TIME 8
MILESTONE | COST 68 TIME 8
MILESTONE | COST 67 TIME 9
MILESTONE | COST 66 TIME 9
MILESTONE | COST 66 TIME 10
MILESTONE | COST 66 TIME 10
MILESTONE | COST 64 TIME 10
MILESTONE | COST 64 TIME 11
MILESTONE | COST 64 TIME 11
MILESTONE | COST 64 TIME 12
MILESTONE | COST 64 TIME 12
MILESTONE | COST 62 TIME 12
MILESTONE | COST 61 TIME 13
MILESTONE | COST 61 TIME 13
MILESTONE | COST 61 TIME 14
MILESTONE | COST 61 TIME 14
MILESTONE | COST 59 TIME 14
MILESTONE | COST 58 TIME 15
MILESTONE | COST 58 TIME 15
MILESTONE | COST 57 TIME 16
MILESTONE | COST 57 TIME 16
MILESTONE | COST 57 TIME 16
MILESTONE | COST 56 TIME 17
MILESTONE | COST 55 TIME 17
MILESTONE | COST 55 TIME 18
MILESTONE | COST 54 TIME 18
MILESTONE | COST 54 TIME 18
MILESTONE | COST 54 TIME 19
MILESTONE | COST 53 TIME 19
MILESTONE | COST 53 TIME 20
MILESTONE | COST 53 TIME 20
MILESTONE | COST 49 TIME 20
MILESTONE | COST 49 TIME 21
MILESTONE | COST 47 TIME 21
MILESTONE | COST 46 TIME 22
MILESTONE | COST 46 TIME 22
MILESTONE | COST 46 TIME 22
MILESTONE | COST 46 TIME 23
MILESTONE | COST 44 TIME 23
MILESTONE | COST 44 TIME 24
MILESTONE | COST 44 TIME 24
MILESTONE | COST 44 TIME 24
MILESTONE | COST 44 TIME 25
MILESTONE | COST 43 TIME 25
MILESTONE | COST 43 TIME 26
MILESTONE | COST 43 TIME 26
MILESTONE | COST 41 TIME 26
MILESTONE | COST 41 TIME 27
MILESTONE | COST 41 TIME 27
MILESTONE | COST 41 TIME 28
MILESTONE | COST 39 TIME 28
MILESTONE | COST 39 TIME 28
MILESTONE | COST 37 TIME 29
MILESTONE | COST 37 TIME 29
MILESTONE | COST 37 TIME 30
MILESTONE | COST 37 TIME 30
MILESTONE | COST 36 TIME 30
MILESTONE | COST 36 TIME 31
MILESTONE | COST 36 TIME 31
MILESTONE | COST 36 TIME 33
MILESTONE | COST 35 TIME 35
MILESTONE | COST 34 TIME 35
MILESTONE | COST 34 TIME 35
MILESTONE | COST 33 TIME 78
MILESTONE | COST 33 TIME 78
MILESTONE | COST 33 TIME 96
