MILESTONE | COST 23 TIME 10
MILESTONE | COST 22 TIME 23
MILESTONE | COST 22 TIME 37
MILESTONE | COST 22 TIME 58
MILESTONE | COST 22 TIME 65
MILESTONE | COST 21 TIME 72
MILESTONE | COST 21 TIME 79
MILESTONE | COST 20 TIME 165
MILESTONE | COST 20 TIME 172
MILESTONE | COST 20 TIME 179
MILESTONE | COST 20 TIME 186
MILESTONE | COST 20 TIME 193
MILESTONE | COST 19 TIME 214
MILESTONE | COST 19 TIME 228
MILESTONE | COST 19 TIME 317
MILESTONE | COST 19 TIME 359
MILESTONE | COST 19 TIME 436
MILESTONE | COST 19 TIME 479
