numCities = 20;
numLocations = 60;
numTypes = 4;
cityCoordinates = [
[0.81 0.70]
[0.12 0.09]
[0.42 0.35]
[0.07 0.70]
[0.64 0.59]
[0.30 0.99]
[0.07 0.27]
[0.38 0.95]
[0.99 0.32]
[0.28 0.84]
[0.56 0.60]
[0.18 0.85]
[0.89 0.40]
[0.32 0.85]
[0.04 0.10]
[0.80 0.64]
[0.73 0.85]
[0.20 0.93]
[0.63 0.16]
[0.74 0.27]
];
locationCoordinates = [
[0.26 0.27]
[0.54 0.04]
[0.99 0.33]
[0.65 0.92]
[0.76 0.98]
[0.57 0.93]
[0.78 0.32]
[0.72 0.76]
[0.61 0.67]
[0.77 0.04]
[0.68 0.65]
[0.51 0.57]
[0.50 0.41]
[0.57 0.71]
[0.98 0.12]
[0.39 0.31]
[0.35 0.24]
[0.57 0.93]
[0.85 0.34]
[0.32 0.22]
[0.15 0.62]
[0.94 0.89]
[0.65 0.92]
[0.59 0.66]
[0.69 0.26]
[0.91 0.36]
[0.93 0.37]
[0.79 0.42]
[0.13 0.43]
[0.55 0.36]
[0.67 0.11]
[0.35 0.94]
[0.87 0.02]
[0.36 0.92]
[0.14 0.72]
[0.34 0.68]
[0.57 0.29]
[0.22 0.28]
[0.93 0.22]
[0.48 0.81]
[0.17 0.62]
[1.00 0.39]
[0.81 0.10]
[0.53 0.78]
[0.14 0.95]
[0.06 0.08]
[0.02 0.81]
[0.83 0.41]
[0.33 0.89]
[0.61 0.20]
[0.88 0.47]
[0.77 0.96]
[0.23 0.45]
[0.68 0.99]
[0.79 0.17]
[0.79 0.16]
[0.55 0.96]
[0.06 0.79]
[0.57 0.37]
[0.32 0.58]
];
cityPopulation = [86 21 31 98 52 81 26 34 23 31 78 91 70 67 22 92 39 16 64 49 ];
d_center = 0.03;
typeCapacity = [71 99 45 39 ];
typeDistance = [0.12 0.16 0.65 0.69 ];
typeCost = [52 14 41 25 ];
