MILESTONE | COST 91 TIME 1
MILESTONE | COST 88 TIME 1
MILESTONE | COST 86 TIME 1
MILESTONE | COST 84 TIME 2
MILESTONE | COST 82 TIME 2
MILESTONE | COST 80 TIME 2
MILESTONE | COST 79 TIME 3
MILESTONE | COST 78 TIME 3
MILESTONE | COST 77 TIME 4
MILESTONE | COST 75 TIME 4
MILESTONE | COST 74 TIME 4
MILESTONE | COST 73 TIME 5
MILESTONE | COST 72 TIME 5
MILESTONE | COST 71 TIME 5
MILESTONE | COST 70 TIME 6
MILESTONE | COST 69 TIME 6
MILESTONE | COST 68 TIME 6
MILESTONE | COST 67 TIME 7
MILESTONE | COST 66 TIME 7
MILESTONE | COST 66 TIME 7
MILESTONE | COST 66 TIME 8
MILESTONE | COST 65 TIME 8
MILESTONE | COST 65 TIME 8
MILESTONE | COST 63 TIME 9
MILESTONE | COST 63 TIME 9
MILESTONE | COST 61 TIME 9
MILESTONE | COST 59 TIME 10
MILESTONE | COST 57 TIME 10
MILESTONE | COST 55 TIME 10
MILESTONE | COST 53 TIME 11
MILESTONE | COST 51 TIME 11
MILESTONE | COST 50 TIME 11
MILESTONE | COST 50 TIME 12
MILESTONE | COST 49 TIME 12
MILESTONE | COST 49 TIME 12
MILESTONE | COST 49 TIME 13
MILESTONE | COST 49 TIME 13
MILESTONE | COST 49 TIME 13
MILESTONE | COST 49 TIME 14
MILESTONE | COST 47 TIME 14
MILESTONE | COST 46 TIME 14
MILESTONE | COST 46 TIME 15
MILESTONE | COST 45 TIME 15
MILESTONE | COST 45 TIME 15
MILESTONE | COST 45 TIME 15
MILESTONE | COST 45 TIME 16
MILESTONE | COST 45 TIME 16
MILESTONE | COST 42 TIME 16
MILESTONE | COST 42 TIME 17
MILESTONE | COST 42 TIME 17
MILESTONE | COST 42 TIME 17
MILESTONE | COST 40 TIME 18
MILESTONE | COST 40 TIME 18
MILESTONE | COST 40 TIME 18
MILESTONE | COST 40 TIME 19
MILESTONE | COST 40 TIME 35
MILESTONE | COST 40 TIME 51
MILESTONE | COST 39 TIME 225
MILESTONE | COST 39 TIME 225
MILESTONE | COST 38 TIME 236
MILESTONE | COST 38 TIME 236
MILESTONE | COST 38 TIME 239
MILESTONE | COST 38 TIME 463
