MILESTONE | COST 45 TIME 0
MILESTONE | COST 42 TIME 0
MILESTONE | COST 39 TIME 0
MILESTONE | COST 36 TIME 0
MILESTONE | COST 34 TIME 0
MILESTONE | COST 32 TIME 0
MILESTONE | COST 30 TIME 0
MILESTONE | COST 28 TIME 1
MILESTONE | COST 26 TIME 1
MILESTONE | COST 24 TIME 1
MILESTONE | COST 24 TIME 1
MILESTONE | COST 24 TIME 1
MILESTONE | COST 24 TIME 1
MILESTONE | COST 22 TIME 1
MILESTONE | COST 21 TIME 1
MILESTONE | COST 21 TIME 1
MILESTONE | COST 21 TIME 1
MILESTONE | COST 20 TIME 1
MILESTONE | COST 20 TIME 2
MILESTONE | COST 19 TIME 2
MILESTONE | COST 19 TIME 2
MILESTONE | COST 19 TIME 2
MILESTONE | COST 18 TIME 10
MILESTONE | COST 18 TIME 10
MILESTONE | COST 18 TIME 10
MILESTONE | COST 18 TIME 10
MILESTONE | COST 18 TIME 39
MILESTONE | COST 16 TIME 67
MILESTONE | COST 16 TIME 67
MILESTONE | COST 16 TIME 67
MILESTONE | COST 16 TIME 67
MILESTONE | COST 16 TIME 116
MILESTONE | COST 16 TIME 116
MILESTONE | COST 15 TIME 122
MILESTONE | COST 15 TIME 218
MILESTONE | COST 14 TIME 380
MILESTONE | COST 14 TIME 380
MILESTONE | COST 14 TIME 380
MILESTONE | COST 14 TIME 380
