MILESTONE | COST 59 TIME 0
MILESTONE | COST 56 TIME 0
MILESTONE | COST 53 TIME 0
MILESTONE | COST 51 TIME 0
MILESTONE | COST 49 TIME 1
MILESTONE | COST 47 TIME 1
MILESTONE | COST 45 TIME 1
MILESTONE | COST 43 TIME 1
MILESTONE | COST 42 TIME 1
MILESTONE | COST 41 TIME 1
MILESTONE | COST 40 TIME 1
MILESTONE | COST 39 TIME 2
MILESTONE | COST 38 TIME 2
MILESTONE | COST 37 TIME 2
MILESTONE | COST 36 TIME 2
MILESTONE | COST 35 TIME 2
MILESTONE | COST 35 TIME 2
MILESTONE | COST 35 TIME 2
MILESTONE | COST 35 TIME 3
MILESTONE | COST 33 TIME 3
MILESTONE | COST 29 TIME 3
MILESTONE | COST 29 TIME 3
MILESTONE | COST 29 TIME 3
MILESTONE | COST 29 TIME 3
MILESTONE | COST 27 TIME 3
MILESTONE | COST 27 TIME 4
MILESTONE | COST 26 TIME 4
MILESTONE | COST 25 TIME 4
MILESTONE | COST 25 TIME 4
MILESTONE | COST 25 TIME 4
MILESTONE | COST 24 TIME 4
MILESTONE | COST 24 TIME 6
MILESTONE | COST 23 TIME 101
MILESTONE | COST 23 TIME 107
MILESTONE | COST 23 TIME 107
MILESTONE | COST 23 TIME 107
MILESTONE | COST 22 TIME 175
MILESTONE | COST 22 TIME 175
MILESTONE | COST 22 TIME 175
MILESTONE | COST 22 TIME 175
MILESTONE | COST 22 TIME 175
