MILESTONE | COST 71 TIME 0
MILESTONE | COST 68 TIME 0
MILESTONE | COST 66 TIME 0
MILESTONE | COST 64 TIME 1
MILESTONE | COST 62 TIME 1
MILESTONE | COST 60 TIME 1
MILESTONE | COST 58 TIME 1
MILESTONE | COST 56 TIME 1
MILESTONE | COST 54 TIME 2
MILESTONE | COST 53 TIME 2
MILESTONE | COST 51 TIME 2
MILESTONE | COST 50 TIME 2
MILESTONE | COST 49 TIME 2
MILESTONE | COST 48 TIME 3
MILESTONE | COST 46 TIME 3
MILESTONE | COST 45 TIME 3
MILESTONE | COST 43 TIME 3
MILESTONE | COST 42 TIME 3
MILESTONE | COST 41 TIME 4
MILESTONE | COST 40 TIME 4
MILESTONE | COST 39 TIME 4
MILESTONE | COST 38 TIME 4
MILESTONE | COST 37 TIME 4
MILESTONE | COST 36 TIME 5
MILESTONE | COST 36 TIME 5
MILESTONE | COST 35 TIME 5
MILESTONE | COST 35 TIME 5
MILESTONE | COST 35 TIME 5
MILESTONE | COST 33 TIME 6
MILESTONE | COST 32 TIME 6
MILESTONE | COST 32 TIME 6
MILESTONE | COST 32 TIME 6
MILESTONE | COST 31 TIME 6
MILESTONE | COST 31 TIME 7
MILESTONE | COST 31 TIME 7
MILESTONE | COST 31 TIME 7
MILESTONE | COST 30 TIME 7
MILESTONE | COST 30 TIME 7
MILESTONE | COST 28 TIME 8
MILESTONE | COST 28 TIME 8
MILESTONE | COST 28 TIME 12
MILESTONE | COST 27 TIME 15
MILESTONE | COST 27 TIME 15
MILESTONE | COST 27 TIME 15
MILESTONE | COST 26 TIME 106
MILESTONE | COST 26 TIME 106
MILESTONE | COST 26 TIME 383
