MILESTONE | COST 95 TIME 1
MILESTONE | COST 93 TIME 1
MILESTONE | COST 91 TIME 2
MILESTONE | COST 89 TIME 2
MILESTONE | COST 87 TIME 3
MILESTONE | COST 85 TIME 3
MILESTONE | COST 83 TIME 4
MILESTONE | COST 82 TIME 5
MILESTONE | COST 81 TIME 5
MILESTONE | COST 80 TIME 6
MILESTONE | COST 79 TIME 6
MILESTONE | COST 78 TIME 7
MILESTONE | COST 77 TIME 7
MILESTONE | COST 76 TIME 8
MILESTONE | COST 75 TIME 8
MILESTONE | COST 74 TIME 9
MILESTONE | COST 72 TIME 9
MILESTONE | COST 71 TIME 10
MILESTONE | COST 71 TIME 10
MILESTONE | COST 71 TIME 11
MILESTONE | COST 71 TIME 11
MILESTONE | COST 70 TIME 12
MILESTONE | COST 70 TIME 12
MILESTONE | COST 70 TIME 13
MILESTONE | COST 69 TIME 13
MILESTONE | COST 69 TIME 13
MILESTONE | COST 69 TIME 14
MILESTONE | COST 69 TIME 14
MILESTONE | COST 69 TIME 15
MILESTONE | COST 69 TIME 15
MILESTONE | COST 69 TIME 16
MILESTONE | COST 69 TIME 16
MILESTONE | COST 69 TIME 17
MILESTONE | COST 69 TIME 17
MILESTONE | COST 69 TIME 18
MILESTONE | COST 69 TIME 18
MILESTONE | COST 69 TIME 19
MILESTONE | COST 69 TIME 19
MILESTONE | COST 69 TIME 20
MILESTONE | COST 68 TIME 20
MILESTONE | COST 66 TIME 21
MILESTONE | COST 66 TIME 21
MILESTONE | COST 64 TIME 22
MILESTONE | COST 64 TIME 22
MILESTONE | COST 64 TIME 23
MILESTONE | COST 62 TIME 23
MILESTONE | COST 60 TIME 24
MILESTONE | COST 60 TIME 24
MILESTONE | COST 60 TIME 25
MILESTONE | COST 60 TIME 25
MILESTONE | COST 60 TIME 26
MILESTONE | COST 60 TIME 26
MILESTONE | COST 59 TIME 27
MILESTONE | COST 57 TIME 27
MILESTONE | COST 56 TIME 27
MILESTONE | COST 56 TIME 28
MILESTONE | COST 56 TIME 28
MILESTONE | COST 56 TIME 29
MILESTONE | COST 56 TIME 29
MILESTONE | COST 56 TIME 30
MILESTONE | COST 54 TIME 30
MILESTONE | COST 54 TIME 31
MILESTONE | COST 54 TIME 31
MILESTONE | COST 54 TIME 32
MILESTONE | COST 53 TIME 32
MILESTONE | COST 53 TIME 33
MILESTONE | COST 51 TIME 33
MILESTONE | COST 51 TIME 34
MILESTONE | COST 49 TIME 34
MILESTONE | COST 49 TIME 35
MILESTONE | COST 49 TIME 35
MILESTONE | COST 49 TIME 36
MILESTONE | COST 49 TIME 36
MILESTONE | COST 48 TIME 36
MILESTONE | COST 48 TIME 37
MILESTONE | COST 48 TIME 37
MILESTONE | COST 48 TIME 38
MILESTONE | COST 48 TIME 38
MILESTONE | COST 44 TIME 39
MILESTONE | COST 42 TIME 39
MILESTONE | COST 42 TIME 40
MILESTONE | COST 42 TIME 40
MILESTONE | COST 40 TIME 41
MILESTONE | COST 40 TIME 41
MILESTONE | COST 40 TIME 42
MILESTONE | COST 40 TIME 42
MILESTONE | COST 40 TIME 43
MILESTONE | COST 40 TIME 50
MILESTONE | COST 39 TIME 93
MILESTONE | COST 39 TIME 94
MILESTONE | COST 39 TIME 94
MILESTONE | COST 39 TIME 95
MILESTONE | COST 38 TIME 118
MILESTONE | COST 38 TIME 118
MILESTONE | COST 38 TIME 119
MILESTONE | COST 38 TIME 119
