MILESTONE | COST 102 TIME 0
MILESTONE | COST 100 TIME 1
MILESTONE | COST 98 TIME 1
MILESTONE | COST 96 TIME 2
MILESTONE | COST 94 TIME 3
MILESTONE | COST 92 TIME 3
MILESTONE | COST 91 TIME 4
MILESTONE | COST 90 TIME 5
MILESTONE | COST 88 TIME 5
MILESTONE | COST 87 TIME 6
MILESTONE | COST 86 TIME 7
MILESTONE | COST 85 TIME 7
MILESTONE | COST 84 TIME 8
MILESTONE | COST 83 TIME 8
MILESTONE | COST 82 TIME 9
MILESTONE | COST 81 TIME 10
MILESTONE | COST 80 TIME 10
MILESTONE | COST 79 TIME 11
MILESTONE | COST 78 TIME 11
MILESTONE | COST 77 TIME 12
MILESTONE | COST 76 TIME 13
MILESTONE | COST 75 TIME 13
MILESTONE | COST 75 TIME 14
MILESTONE | COST 75 TIME 14
MILESTONE | COST 75 TIME 15
MILESTONE | COST 75 TIME 16
MILESTONE | COST 75 TIME 16
MILESTONE | COST 75 TIME 17
MILESTONE | COST 75 TIME 17
MILESTONE | COST 75 TIME 18
MILESTONE | COST 75 TIME 18
MILESTONE | COST 73 TIME 19
MILESTONE | COST 73 TIME 20
MILESTONE | COST 72 TIME 20
MILESTONE | COST 72 TIME 21
MILESTONE | COST 71 TIME 21
MILESTONE | COST 70 TIME 22
MILESTONE | COST 70 TIME 22
MILESTONE | COST 69 TIME 23
MILESTONE | COST 69 TIME 24
MILESTONE | COST 69 TIME 24
MILESTONE | COST 68 TIME 25
MILESTONE | COST 68 TIME 25
MILESTONE | COST 68 TIME 26
MILESTONE | COST 67 TIME 26
MILESTONE | COST 67 TIME 27
MILESTONE | COST 66 TIME 28
MILESTONE | COST 66 TIME 28
MILESTONE | COST 66 TIME 29
MILESTONE | COST 65 TIME 29
MILESTONE | COST 65 TIME 30
MILESTONE | COST 65 TIME 30
MILESTONE | COST 63 TIME 31
MILESTONE | COST 61 TIME 32
MILESTONE | COST 61 TIME 32
MILESTONE | COST 61 TIME 33
MILESTONE | COST 61 TIME 33
MILESTONE | COST 61 TIME 34
MILESTONE | COST 61 TIME 34
MILESTONE | COST 58 TIME 35
MILESTONE | COST 58 TIME 36
MILESTONE | COST 56 TIME 36
MILESTONE | COST 54 TIME 37
MILESTONE | COST 54 TIME 37
MILESTONE | COST 54 TIME 38
MILESTONE | COST 54 TIME 38
MILESTONE | COST 54 TIME 39
MILESTONE | COST 53 TIME 40
MILESTONE | COST 53 TIME 40
MILESTONE | COST 53 TIME 41
MILESTONE | COST 53 TIME 41
MILESTONE | COST 53 TIME 42
MILESTONE | COST 52 TIME 43
MILESTONE | COST 52 TIME 43
MILESTONE | COST 50 TIME 44
MILESTONE | COST 50 TIME 44
MILESTONE | COST 50 TIME 45
MILESTONE | COST 50 TIME 45
MILESTONE | COST 49 TIME 46
MILESTONE | COST 49 TIME 46
MILESTONE | COST 47 TIME 47
MILESTONE | COST 47 TIME 48
MILESTONE | COST 47 TIME 48
MILESTONE | COST 47 TIME 49
MILESTONE | COST 47 TIME 49
MILESTONE | COST 47 TIME 50
MILESTONE | COST 47 TIME 50
MILESTONE | COST 45 TIME 51
MILESTONE | COST 45 TIME 52
MILESTONE | COST 45 TIME 52
MILESTONE | COST 45 TIME 53
MILESTONE | COST 43 TIME 53
MILESTONE | COST 43 TIME 54
MILESTONE | COST 43 TIME 54
MILESTONE | COST 42 TIME 83
MILESTONE | COST 41 TIME 83
MILESTONE | COST 41 TIME 89
MILESTONE | COST 40 TIME 356
MILESTONE | COST 40 TIME 357
MILESTONE | COST 40 TIME 358
MILESTONE | COST 40 TIME 360
MILESTONE | COST 40 TIME 478
