MILESTONE | COST 105 TIME 1
MILESTONE | COST 103 TIME 1
MILESTONE | COST 101 TIME 2
MILESTONE | COST 99 TIME 3
MILESTONE | COST 98 TIME 3
MILESTONE | COST 97 TIME 4
MILESTONE | COST 96 TIME 5
MILESTONE | COST 94 TIME 6
MILESTONE | COST 93 TIME 6
MILESTONE | COST 92 TIME 7
MILESTONE | COST 91 TIME 8
MILESTONE | COST 90 TIME 9
MILESTONE | COST 89 TIME 9
MILESTONE | COST 88 TIME 10
MILESTONE | COST 87 TIME 11
MILESTONE | COST 86 TIME 11
MILESTONE | COST 85 TIME 12
MILESTONE | COST 85 TIME 13
MILESTONE | COST 85 TIME 13
MILESTONE | COST 85 TIME 14
MILESTONE | COST 85 TIME 15
MILESTONE | COST 85 TIME 16
MILESTONE | COST 84 TIME 16
MILESTONE | COST 84 TIME 17
MILESTONE | COST 84 TIME 18
MILESTONE | COST 82 TIME 18
MILESTONE | COST 82 TIME 19
MILESTONE | COST 82 TIME 20
MILESTONE | COST 81 TIME 20
MILESTONE | COST 80 TIME 21
MILESTONE | COST 80 TIME 22
MILESTONE | COST 80 TIME 23
MILESTONE | COST 80 TIME 23
MILESTONE | COST 80 TIME 24
MILESTONE | COST 78 TIME 25
MILESTONE | COST 78 TIME 25
MILESTONE | COST 78 TIME 26
MILESTONE | COST 78 TIME 27
MILESTONE | COST 76 TIME 27
MILESTONE | COST 75 TIME 28
MILESTONE | COST 75 TIME 29
MILESTONE | COST 75 TIME 29
MILESTONE | COST 75 TIME 30
MILESTONE | COST 74 TIME 31
MILESTONE | COST 73 TIME 31
MILESTONE | COST 73 TIME 32
MILESTONE | COST 71 TIME 33
MILESTONE | COST 70 TIME 34
MILESTONE | COST 70 TIME 34
MILESTONE | COST 70 TIME 35
MILESTONE | COST 69 TIME 36
MILESTONE | COST 69 TIME 36
MILESTONE | COST 69 TIME 37
MILESTONE | COST 69 TIME 38
MILESTONE | COST 69 TIME 38
MILESTONE | COST 67 TIME 39
MILESTONE | COST 67 TIME 40
MILESTONE | COST 67 TIME 40
MILESTONE | COST 66 TIME 41
MILESTONE | COST 66 TIME 42
MILESTONE | COST 66 TIME 42
MILESTONE | COST 64 TIME 43
MILESTONE | COST 63 TIME 44
MILESTONE | COST 63 TIME 44
MILESTONE | COST 61 TIME 45
MILESTONE | COST 61 TIME 46
MILESTONE | COST 61 TIME 46
MILESTONE | COST 61 TIME 47
MILESTONE | COST 61 TIME 48
MILESTONE | COST 61 TIME 48
MILESTONE | COST 61 TIME 49
MILESTONE | COST 59 TIME 50
MILESTONE | COST 59 TIME 50
MILESTONE | COST 55 TIME 51
MILESTONE | COST 55 TIME 52
MILESTONE | COST 54 TIME 52
MILESTONE | COST 54 TIME 53
MILESTONE | COST 54 TIME 54
MILESTONE | COST 54 TIME 54
MILESTONE | COST 54 TIME 55
MILESTONE | COST 54 TIME 56
MILESTONE | COST 53 TIME 56
MILESTONE | COST 53 TIME 57
MILESTONE | COST 52 TIME 58
MILESTONE | COST 52 TIME 58
MILESTONE | COST 52 TIME 59
MILESTONE | COST 51 TIME 60
MILESTONE | COST 51 TIME 60
MILESTONE | COST 49 TIME 61
MILESTONE | COST 49 TIME 62
MILESTONE | COST 49 TIME 62
MILESTONE | COST 49 TIME 63
MILESTONE | COST 49 TIME 64
MILESTONE | COST 49 TIME 64
MILESTONE | COST 49 TIME 65
MILESTONE | COST 49 TIME 66
MILESTONE | COST 49 TIME 66
MILESTONE | COST 49 TIME 67
MILESTONE | COST 49 TIME 68
MILESTONE | COST 48 TIME 68
MILESTONE | COST 47 TIME 69
MILESTONE | COST 47 TIME 70
MILESTONE | COST 46 TIME 70
MILESTONE | COST 46 TIME 71
MILESTONE | COST 44 TIME 72
MILESTONE | COST 44 TIME 72
MILESTONE | COST 44 TIME 76
MILESTONE | COST 44 TIME 76
MILESTONE | COST 43 TIME 77
MILESTONE | COST 43 TIME 77
MILESTONE | COST 43 TIME 78
MILESTONE | COST 43 TIME 79
MILESTONE | COST 43 TIME 95
MILESTONE | COST 43 TIME 96
MILESTONE | COST 42 TIME 99
MILESTONE | COST 42 TIME 100
MILESTONE | COST 42 TIME 100
MILESTONE | COST 42 TIME 329
MILESTONE | COST 42 TIME 431
